2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10040, value=0x016400c605bd 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10041, value=0x016400c605ce 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10042, value=0x016400c605df 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10043, value=0x016400c605f0 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10044, value=0x016400c60601 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10045, value=0x016400c60612 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10046, value=0x016400c60623 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10047, value=0x016400c60634 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10048, value=0x016400c60645 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10049, value=0x016400c60656 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004a, value=0x016400c60667 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004b, value=0x016400c60678 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004c, value=0x016400c60689 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004d, value=0x016400c6069a 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004e, value=0x016400c606ab 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1004f, value=0x016400c606bc 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10050, value=0x016400c606cd 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10051, value=0x016400c606de 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10052, value=0x016400c606ef 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10053, value=0x016400c60700 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10054, value=0x016400c60711 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10055, value=0x016400c60722 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10056, value=0x016400c60733 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10057, value=0x016400c60744 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10058, value=0x016400c60755 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10059, value=0x016400c60766 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005a, value=0x016400c60777 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005b, value=0x016400c60788 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005c, value=0x016400c60799 
